en;cn;tw;ja;ko;id;th;vi;pt;es;ru;fr;sv;de;fi;no;tr;lv;et;lt;pl;nl;ro;gp;sx;el;ys
SPIN;旋转;旋轉;スピン;스핀;PUTAR;หมุน;VÒNG QUAY;GIRAR;GIRO;ВРАЩЕНИЕ;TOURNER;SPINN;SPIN;PYÖRÄYTÄ;SPINN;DÖNDÜR;GRIEZT;KEERUTA;SUKTI;SPIN;SPIN;ÎNVÂRTIRE;SPIN;SPIN;ΠΕΡΙΣΤΡΟΦΗ;SPIN
Balance;余额;餘額;残高;보유금;Saldo;คงเหลือ;Số dư;Saldo;Saldo;Баланс;Solde;Saldo;Balance;Saldo;Saldo;Bakiye;Atlikums;Saldo;Likutis;Saldo;Saldo;Balance;Balance;Balance;Υπόλοιπο;Balance
PAYS;支付;支付;ペイ;페이;Session expired;จ่าย;TRẢ;PAGA;PAGOS;ПЛАТЕЖИ;PAIEMENTS;UTBETALAR;ZAHLT AUS;VOITTO;UTBETALINGER;ÖDEMELER;IZMAKSĀ;VÕIDAB;IŠMOKOS;WYPŁATY;UITBETALINGEN;PLĂTEȘTE;Wins;Wins;ΠΛΗΡΩΝΕΙ;Wins
Bet;投注;投注;ベット;베팅;Taruhan;เดิมพัน;Cược;Aposta;Apuesta;Ставка;Mise;Insats;Wette;Panos;Innsats;Bahis;Likme;Panus;Statymas;Zakład;Inzet;Pariu;Play amount;Play amount;Ποντάρισμα;Play amount
Auto Spin;自动旋转;自動旋轉;自動ス ピン;자동 스핀;Putar Otomatis;หมุนอัต โนมัติ;Vòng Quay Tự Động;Auto Giro;Autogiro;Авт. Вращ.;Tour Auto;Auto snurr;Auto Spin;Kierros;Autospinn;Otomatik Dönme;Automātiskais grieziens;Automaatkeerutus;Automatinis sukimas;Atomatyczny spin;Auto Spin;Auto Spin;Auto Spin;Auto Spin;Αυτόματη περιστροφή;Auto Spin
Turbo Spin;快速旋转;快速旋轉;高速旋回;터보 스핀;PUTARAN TURBO;เทอร์โบสปิน;VÒNG QUAY TURBO;GIRO TURBO ;TURBO GIRO;ТУРБО ВРАЩЕНИЕ;TOUR TURBO;TURBOSPINN;TURBO SPIN;TURBOPYÖRÄYTYS;TURBO SPIN;TURBO DÖNDÜRME;TURBO GRIEZIENS;TURBOKEERUTUS;TURBOSUKIMAS;TURBO SPIN;TURBO SPIN;ÎNVÂRTIRE TURBO;Turbo Spin;Turbo Spin;Turbo Spin;Turbo Spin
Game History;游戏历史记录;遊戲記錄;ゲーム履歴;게임 기록;Riwayat Permainan;ประวัติเกม;Lịch sử ván chơi;Histórico de Jogo;Historial de juego;История игры;Historique de jeu;Spelhistorik;Spielverlauf;Pelihistoria;Spillhistorikk;Oyun Geçmişi;Spēles vēsture;Mängude ajalugu;Žaidimo istorija;Historia gry;Spelgeschiedenis;Istoricul jocului;Game History;Game History;Ιστορικό παιχνιδιού;Game History
BUY;购买;購買;購入;구매;BELI;ซื้อ;MUA;COMPRAR;COMPRAR;КУПИТЬ;ACHETER;KÖP;KAUFEN;OSTA;KJØP;SATIN AL;PIRKT;OSTA;PIRKTI;KUP;KOPEN;BUY;Play;Play;ΑΓΟΡΑ;Play
PLAY;游戏;遊戲;プレイ;플레이;MAIN;เล่น;CHƠI;JOGAR;JUGAR;ИГРАТЬ;JOUER;SPELA;SPIELEN;PELAA;SPILL;OYNA;SPĒLĒT;MÄNGI;LOŠTI;GRAJ;SPELEN;JOC;PLAY;PLAY;ΠΑΙΞΤΕ;PLAY
FREE SPINS;免费旋转;免費旋轉;無料旋回;프리스핀;SPIN GRATIS;ฟรีสปิน;QUAY MIỄN PHÍ;GIROS GRATUITOS;GIROS GRATIS;БЕСП. ВРАЩЕНИЯ;TOURS GRATUITS;GRATISSPINN;KOSTENLOSE SPINS;ILMAISKIERROKSET;GRATISSPINN;ÜCRETSİZ DÖNDÜRME;BEZMAKSAS GRIEZIENI;TASUTA KEERUTUSED;NEMOKAMI SUKIMAI;DARMOWE SPINY;FREE SPINS;ÎNVÂRTIRI GRATUITE;FREE SPINS;FREE SPINS;ΔΩΡΕΑΝ ΠΕΡΙΣΤΡΟΦΕΣ;FREE SPINS
