en;th
SPIN;หมุน
Balance;คงเหลือ
PAYS;จ่าย
Bet;เดิมพัน
Auto Spin;หมุนอัต โนมัติ
Turbo Spin;เทอร์โบสปิน
Game History;ประวัติเกม
BUY;ซื้อ
PLAY;เล่น
FREE SPINS;ฟรีสปิน
Launch Game History to see the results of previous games you've played;เปิดประวัติเกมเพื่อดูผลลัพธ์ของเกมที่คุณเล่นไปก่อนหน้านี้
Show More;แสดงเพิ่มเติม
START;เริ่ม
STOP;หยุด
Game(s) Ago;เกมที่ผ่านมา
Some Error Occured, please reload your page;เกิดข้อผิดพลาดบางอย่างขึ้น โปรดโหลดหน้าเว็บของคุณใหม่
Round;รอบ
 will be charged from your balance; จะถูกเรียกเก็บเงินจากยอดคงเหลือของคุณ
 Bet will be used in Feature and in game once Feature completes; การเดิมพันจะถูกใช้ในฟีเจอร์และในเกมเมื่อฟีเจอร์จบลง
CONFIRM;ยืนยัน
CREDIT VALUE;มูลค่าเครดิต
HOLD SPACEBAR FOR TURBO SPIN;กดสเปซบาร์ค้างสำห\nรับการหมุนเทอร์โบ
Balance;คงเหลือ
WON;รางวัล
AUTO SPIN;หมุนอัตโนมัติ
Number of Spins;จำนวนของการหมุน
TURBO SPIN ON;เปิดเทอร์โบสปิน
TURBO SPIN OFF;ปิดเทอร์โบสปิน
LINES;เส้น
BET\nMAX;เดิมพัน\nสูงสุด
TOTAL WON;รางวัลทั้งหมด
UNTIL\nFEATURE;จนถึงคุณ\nลั กษณะ
Time;เวลา
Net Position;ตำแหน่งสุทธิ
AUTO\nSPIN;หมุนอัต\nโนมัติ
CANCEL;ยกเลิก
Version;เวอร์ชั่น
CONGRATULATIONS!;ขอแสดงความยินดี!
You have been awarded;คุณได้รับรางวัล
FREE SPINS!;ฟรีสปิน!
CONTINUE;ต่อ
Freespins will be played at {0} per spin;การหมุนฟรีจะเล่นที่ราคา {0} ต่อการหมุน
Pause;หยุดชั่วคราว
YOU HAVE WON;คุณได้รับรางวัล
THIS GAME IS CURRENTLY UNAVAILABLE.;เกมนี้ไม่สามารถใช้งานได้ในตอนนี้
TEMPORARY DIFFICULTIES, PLEASE TRY AGAIN LATER OR CONTACT SUPPORT IF PROBLEM PERSISTS.;มีปัญหาชั่วคราว, โปรดลองอีกครั้งในภายห ลังหรื อติดต่อฝ่ายช่วยเหลือหากปัญหายังคงมีอยู่
YOUR GAME HAS TIMED OUT DUE TO AN EXTENDED PERIOD OF INACTIVITY.\n PLEASE RELOAD THE GAME TO CONTINUE PLAYING.;เกมของคุณได้หมดเวลาเนื่องจากการขยายระ ยะเวลาการใช้งาน.โปรดโหลดเกมที่จะเล่นต่อไป.
YOU HAVE BEEN LOGGED OUT.;คุณได้ทำการการจากออกจากระบบ
Game exited to limit losses.;ออกจากเกมเพื่อจำกัดการสูญเสีย
This game doesn’t support multiple windows open at once.\n In the event of a disconnection, please allow 60 seconds before re-opening the game so it will resume where you lost connection.;เกมนี้ไม่รองรับการเปิดหลายหน้าต่างพร้อมกันในเวลาเดียว. ในกรณีที่การเชื่อมต่อขาดหายไป โปรดรอประมาณ 60 วินาทีก่อนที่จะเปิดเกมใหม่อีกครั้ง เพื่อที่คุณจะได้ดำเนินการต่อในจุดที่ขาดการเชื่อมต่อไป.
A new game session has been loaded with your account.;เกมเซสชั่นใหม่ถูกโหลดกับบัญชีของคุณ
This game is not available in your country;เกมนี้ไม่พร้อมให้บริการในประเทศของคุณ
WE WERE UNABLE TO PROCESS YOUR SESSION LIMIT REQUEST. THE SESSION LIMIT MESSAGE MAY BE DISPLAYED WHEN YOU RESTART YOUR GAME.;เราไม่สามารถดำเนินการตามคำขอของข้อจำกัดเซสชั่นของคุณ. ข้อความขีดจำกัดซสชั่นอาจมีการแสดงเมื่อคุณเริ่มต้นเล่นเกมของคุณ.
CANNOT PROCESS GAME REQUEST DUE TO REALITY CHECK.;ไม่สามารถดำเนินการตามคำขอเกมได้เนื่องจากการตรวจสอบความจริง
YOUR CURRENT SESSION HAS BEEN CLOSED. THIS ACCOUNT HAS BEEN LOCKED.;YOUR CURRENT SESSION HAS BEEN CLOSED. THIS ACCOUNT HAS BEEN LOCKED.
YOUR SESSION HAS TIMED OUT. PLEASE TRY AGAIN.;เซสชั่นของคุณได้หมดเวลา โปรดลองอีกครั้ง.
Network Error;ข้อผิดพลาดเครือข่าย
BUY FEATURE ACTIVATED!;การซื้อฟีเจอร์ถูกเปิดใช้งาน!
CLICK TO CHANGE BETWEEN COIN AND MONEY VIEW;คลิกเพื่อเปลี่ยนระหว่างเห\nรียญและมุมมองเงินตรา
RTP;RTP
Max Win;เงินรางวัลสูงสุด
Mio.;Mio.
Max Payout Reached!;ถึงยอดการจ่ายเงินสูงสุดแล้ว!
Replay Initializing;กำลังเริ่มรีเพลย์
Replay Has Ended;รีเพลย์สิ้นสุดลงแล้ว
Date;วันที่
Play Id;ID การเล่น
Win;เงินรางวัล
YOUR ACCOUNT BALANCE IS TOO LOW TO PLACE THIS BET.;ยอดเงินในบัญชีของคุณต่ำเกินไปที่จะวางเดิมพันน
Return To Player:;กลับไปยังผู้เล่น:
Buy Feature:;ซื้อฟีเจอร์ :
UST;UST
OK;OK
Bad request;Bad request
Invalid client IP;Invalid client IP
Invalid country;Invalid country
Jurisdiction not found;Jurisdiction not found
Jurisdiction settings not found;Jurisdiction settings not found
Invalid operator;Invalid operator
Game not configured for the operator;Game not configured for the operator
Game not enabled for the operator;Game not enabled for the operator
Invalid game;Invalid game
Invalid game status;Invalid game status
Currency is not configured for the game;Currency is not configured for the game
Invalid currency status;Invalid currency status
Default currency not found;Default currency not found
Invalid default currency status;Invalid default currency status
Jurisdiction not configured for the game;Jurisdiction not configured for the game
Invalid jurisdiction for the game;Invalid jurisdiction for the game
Language not configured for the game;Language not configured for the game
Invalid language status;Invalid language status
Default language not found;Default language not found
Default language status not valid;Default language status not valid
Bet levels not found;Bet levels not found
Integration not found;Integration not found
Session expired;Session expired
Game Engine Bad Response;Game Engine Bad Response
Insufficient funds;Insufficient funds
Internal error;Internal error
Message;Message
Start Balance;Start Balance
End Balance;End Balance
Your session has now exceeded;Your session has now exceeded
You can continue playing the game or review your Game History.;You can continue playing the game or review your Game History.
HISTORY;HISTORY
Replay;Replay
OK;OK
FEATURES;FEATURES
Autoplay stopped because loss limit was reached.;Autoplay stopped because loss limit was reached.
